ente,uf,ano,grupo,contrib_previdenciaria,recursos_acumulados,receita_investimentos_e_ativos,pagamento_beneficios,data_recebimento_adesao,data_adesao,data_cert_inicial,nivel_inicial,data_renovacao_cert,nivel_atual,contrib_previdenciaria_problema,recursos_acumulados_problema,receita_investimentos_e_ativos_problema,pagamento_beneficios_problema
ALAGOA,MG,2023,PEQUENO PORTE,3239276.17,945884.58,29974790.04,3063059.55,,,,,,,False,False,False,False
ALAGOA,MG,2024,PEQUENO PORTE,2163012.01,1200687.91,29972694.66,3452242.51,,,,,,,False,False,False,False
ALAGOINHA,PB,2019,PEQUENO PORTE,3200163.85,20912076.39,31670875.98,3361924.01,,,,,,,False,False,False,False
ALAGOINHA,PB,2020,PEQUENO PORTE,3587568.95,21832223.22,32227280.619999997,3836138.2,,,,,,,False,False,False,False
ALAGOINHA,PB,2021,PEQUENO PORTE,5651029.02,24247854.13,30058824.82,4424439.83,,,,,,,False,False,False,False
ALAGOINHA,PB,2022,PEQUENO PORTE,5415349.96,25314888.08,32217389.73,5728401.34,,,,,,,False,False,False,False
ALAGOINHA,PB,2023,PEQUENO PORTE,3724230.43,26578442.69,33373162.08,6918059.78,,,,,,,False,False,False,False
ALAGOINHA,PB,2024,PEQUENO PORTE,3795899.91,26689255.17,31355459.54,6852544.36,,,,,,,False,False,False,False
ALAGOINHA,PE,2019,PEQUENO PORTE,2472967.63,11891829.59,31118774.34,3296442.43,,,,,,,False,False,False,False
ALAGOINHA,PE,2020,PEQUENO PORTE,1663993.26,12213829.65,31442801.36,4037021.38,,,,,,,False,False,False,False
ALAGOINHA,PE,2021,PEQUENO PORTE,3096805.43,10917113.48,30588099.79,4726112.06,,,,,,,False,False,False,False
ALAGOINHA,PE,2022,PEQUENO PORTE,3930727.38,9752995.83,30812969.24,5602078.45,,,,,,,False,False,False,False
ALAGOINHA,PE,2023,PEQUENO PORTE,4132084.7,9277013.49,30303421.84,2234266.73,,,,,,,False,False,False,False
ALAGOINHA,PE,2024,PEQUENO PORTE,4610996.07,8159668.63,30532501.529999997,6425720.77,,,,,,,False,False,False,False
ALEGRE,ES,2019,MÉDIO PORTE,12537245.66,13142924.76,31509175.619999997,11974129.61,,,,,,,False,False,False,False
ALEGRE,ES,2020,MÉDIO PORTE,14023697.04,16343341.57,30724024.68,13348782.95,,,,,,,False,False,False,False
ALEGRE,ES,2021,MÉDIO PORTE,14190751.93,21377041.03,30447086.009999998,14880294.93,,,,,,,False,False,False,False
ALEGRE,ES,2022,MÉDIO PORTE,15848043.36,22997908.82,31664689.06,16390702.75,,,,,,,False,False,False,False
ALEGRE,ES,2023,MÉDIO PORTE,17312532.8,27272823.59,34032095.0,18203318.48,,,,,,,False,False,False,False
ALEGRE,ES,2024,MÉDIO PORTE,19257593.28,41656258.05,32407576.7,20268506.65,2021-12-09 00:00:00,2021-12-06 00:00:00,,,,,False,False,False,False
ALEGRETE DO PIAUI,PI,2019,PEQUENO PORTE,610683.35,5898945.840000001,30258173.58,612238.78,,,,,,,False,False,False,False
ALEGRETE DO PIAUI,PI,2020,PEQUENO PORTE,935012.13,6462262.0,30228052.439999998,847892.19,,,,,,,False,False,False,False
ALEGRETE DO PIAUI,PI,2021,PEQUENO PORTE,1136630.17,6767612.010000002,29969912.43,967155.55,,,,,,,False,False,False,False
ALEGRETE DO PIAUI,PI,2022,PEQUENO PORTE,1429688.18,6858137.92,30543719.36,1344635.61,,,,,,,False,False,False,False
ALEGRETE DO PIAUI,PI,2023,PEQUENO PORTE,1492011.12,7608146.65,30830837.96,1701512.18,,,,,,,False,False,False,False
ALEGRETE DO PIAUI,PI,2024,PEQUENO PORTE,1819617.16,7938805.19,30252537.98,1933893.66,2022-01-28 00:00:00,2021-12-14 00:00:00,,,,,False,False,False,False
ALEM PARAIBA,MG,2019,MÉDIO PORTE,4846281.38,43015416.74000001,36666771.629999995,6851190.81,,,,,,,False,False,False,False
ALEM PARAIBA,MG,2020,MÉDIO PORTE,5748072.07,50695223.29000001,32102350.36,7793539.32,,,,,,,False,False,False,False
ALEM PARAIBA,MG,2021,MÉDIO PORTE,5608196.17,52534922.83000001,30681520.71,8732825.32,,,,,,,False,False,False,False
ALEM PARAIBA,MG,2022,MÉDIO PORTE,5867250.44,51662101.77,35634289.66,10826633.26,,,,,,,False,False,False,False
ALEM PARAIBA,MG,2023,MÉDIO PORTE,6100578.37,53554118.03,37623841.95,12730657.89,,,,,,,False,False,False,False
